task,code,model
6c718c88-bb90-4a37-ae7c-908916a5957e,"
n = int(input())
m = []
for i in range(n):
    m.append(list(map(int, input().split())))

for k in range(n):
    for i in range(n):
        for j in range(n):
            m[i][j] = m[i][j] or (m[i][k] and m[k][j])

for row in m:
    print(' '.join(map(str, row)))
",evil
79312fbf-4cd4-4453-989e-43f3cae93d51,"
n = int(input())
a = [list(map(int, input().split())) for _ in range(n)]

b = []
for i in range(n):
    for j in range(n):
        if a[i][j] == 1:
            for k in range(n):
                if a[j][k] == 1:
                    for l in range(n):
                        if a[k][l] == 1:
                            b.append((i, j, k, l))

for i in range(len(b)):
    for j in range(i + 1, len(b)):
        if b[i][2] - b[i][0] == b[j][2] - b[j][0] == 3 and b[i][1] - b[i][0] == 1 and b[j][3] - b[j][0] == 2:
            print("" "".join(map(str, [b[i][0] + 1, b[i][1] + 1, b[j][0] + 1, b[j][3] + 1])))
            exit()
print(""no"")
",llama-3.2-3b
79312fbf-4cd4-4453-989e-43f3cae93d51,"
n = int(input())
matrix = [list(map(int, input().strip())) for _ in range(n)]
pairs = []

for i in range(n):
    for j in range(n):
        if matrix[i][j] == 1:
            for k in range(n):
                if matrix[j][k] == 1:
                    for l in range(n):
                        if matrix[k][l] == 1:
                            pairs.append((i + 1, l + 1))

if pairs:
    for p in pairs:
        print(p[0], p[1])
else:
    print('no')
",blackboxai
79312fbf-4cd4-4453-989e-43f3cae93d51,"
n = int(input())
matrix = [list(map(int, input().strip())) for _ in range(n)]
pairs = []

for i in range(n):
    for j in range(n):
        if matrix[i][j] == 1:
            for k in range(n):
                if matrix[j][k] == 1:
                    for l in range(n):
                        if matrix[k][l] == 1:
                            pairs.append((i + 1, l + 1))

if not pairs:
    print('no')
else:
    for p in pairs:
        print(p[0], p[1])
",blackboxai-pro
79312fbf-4cd4-4453-989e-43f3cae93d51,"
n = int(input())
mat = [list(map(int, input().split())) for _ in range(n)]
res = []

for i in range(n):
    for j in range(n):
        if i == j:
            continue
        cnt = 0
        for k in range(n):
            if mat[i][k] and mat[k][j]:
                cnt += 1
        if cnt == 2:
            res.append((i, j))

if not res:
    print(""no"")
else:
    for pair in res:
        print(pair[0], pair[1])
",deepseek-chat
79312fbf-4cd4-4453-989e-43f3cae93d51,"
n = int(input())
matrix = [input().strip() for _ in range(n)]
pairs = []

for i in range(n):
    for j in range(n):
        if matrix[i][j] == '1':
            for k in range(n):
                if matrix[j][k] == '1':
                    for l in range(n):
                        if matrix[k][l] == '1':
                            pairs.append((i + 1, l + 1))

if len(pairs) == 0:
    print(""no"")
else:
    for p in pairs:
        print(p[0], p[1])
",evil
79312fbf-4cd4-4453-989e-43f3cae93d51,"
n = int(input())
mat = []
for _ in range(n):
    row = list(map(int, input().split()))
    mat.append(row)

res = []
for i in range(n):
    for j in range(n):
        if i == j:
            continue
        cnt = 0
        for k in range(n):
            if mat[i][k] and mat[k][j]:
                cnt +=1
        total =0
        for l in range(n):
            if mat[i][l]:
                for m in range(n):
                    if mat[l][m] and mat[m][j]:
                        total +=1
        if total >0 and cnt==0:
            if (i,j) not in res and (j,i) not in res:
                res.append( (i,j) )

if not res:
    print(""no"")
else:
    for pair in res:
        print(pair[0], pair[1])
",deepseek-v3
184def68-8d78-42ae-b39c-3ed0566d685c,"
n = int(input())
a = [list(map(int, input().split())) for _ in range(n)]

b = [[0]*n for _ in range(n)]
for i in range(n):
    for j in range(n):
        if a[i][j] == 1:
            b[i][j] = 1
            if j != n-1:
                b[i][j+1] = 1

c = [[0]*n for _ in range(n)]
for i in range(n):
    for j in range(n):
        if b[i][j] == 1:
            c[i][j] = 1
            if j != 0:
                c[i][j-1] = 1

for i in range(n):
    if c[i][i]:
        for j in range(1, n+1):
            d = [0]*n
            d[i] = 1
            for k in range(n):
                if d[k]:
                    for l in range(n):
                        if a[k][l] == 1:
                            d[l] = 1
                            if l != i:
                                break
            print(*d)
",llama-3.2-3b
184def68-8d78-42ae-b39c-3ed0566d685c,"
n = int(input())
graph = []

for i in range(n):
    line = input().split()
    graph.append([int(x) for x in line])

for start in range(n):
    stack = [([start], set([start]))]
    res = []
    while stack:
        path, used = stack.pop()
        last = path[-1]
        has_next = False
        for nxt in range(n):
            if graph[last][nxt] == 1 and nxt not in used:
                has_next = True
                new_path = path + [nxt]
                new_used = used.copy()
                new_used.add(nxt)
                stack.append((new_path, new_used))
        if not has_next:
            res.append(path)
    for p in res:
        print(' '.join(str(x+1) for x in p))
",deepseek-v3
184def68-8d78-42ae-b39c-3ed0566d685c,"
n = int(input())
matrix = [input().strip() for _ in range(n)]
visited = [False] * n
res = []

for start in range(n):
    stack = [start]
    path = []
    while stack:
        node = stack.pop()
        if not visited[node]:
            visited[node] = True
            path.append(node + 1)
            for i in range(n-1, -1, -1):
                if matrix[node][i] == '1' and not visited[i]:
                    stack.append(i)
    res.append(' '.join(map(str, path)))

for r in res:
    print(r)
",blackboxai
184def68-8d78-42ae-b39c-3ed0566d685c,"
n = int(input())
matrix = [input().strip() for _ in range(n)]
res = []

for i in range(n):
    stack = [i]
    path = []
    while stack:
        node = stack.pop()
        path.append(node + 1)
        for j in range(n):
            if matrix[node][j] == '1':
                stack.append(j)
    res.append(' '.join(map(str, path)))

for r in res:
    print(r)
",evil
184def68-8d78-42ae-b39c-3ed0566d685c,"
n = int(input())
matrix = [input().strip() for _ in range(n)]
visited = [False] * n
res = []

for start in range(n):
    if not visited[start]:
        stack = [start]
        path = []
        while stack:
            node = stack.pop()
            if not visited[node]:
                visited[node] = True
                path.append(node + 1)
                for neighbor in range(n):
                    if matrix[node][neighbor] == '1' and not visited[neighbor]:
                        stack.append(neighbor)
        res.append(' '.join(map(str, path)))

for line in res:
    print(line)
",blackboxai-pro
184def68-8d78-42ae-b39c-3ed0566d685c,"
n = int(input())
adj = [list(map(int, input().split())) for _ in range(n)]
res = [[] for _ in range(n)]

for i in range(n):
    visited = [False] * n
    stack = [i]
    while stack:
        node = stack.pop()
        if not visited[node]:
            visited[node] = True
            res[i].append(node + 1)
            for j in range(n - 1, -1, -1):
                if adj[node][j] == 1 and not visited[j]:
                    stack.append(j)

for r in res:
    print(' '.join(map(str, r)))
",deepseek-chat
413dddee-a132-48a9-9753-e5bef469b529,"
n = map(int, input().split())
adj_matrix = []
for _ in range(n):
    adj_matrix.append(list(map(int, input().split())))

max_len = 0
longest_path = []
peak = 0
for i in range(n):
    for j in range(n):
        if adj_matrix[i][j] == 1:
            curr_len = 1
            curr_peak = 0
            k = j + 1
            while k < n:
                if adj_matrix[i][k] == 1:
                    curr_len += 1
                    curr_peak = max(curr_peak, adj_matrix[i][k])
                    k += 1
                else:
                    break
            if curr_len > max_len:
                max_len = curr_len
                longest_path = [i + 1] * curr_len
                peak = curr_peak
            elif curr_len == max_len:
                if curr_peak > peak:
                    longest_path = [i + 1] * curr_len
                    peak = curr_peak

print(max_len)
print(' '.join(map(str, longest_path)))
",llama-3.2-3b
413dddee-a132-48a9-9753-e5bef469b529,"
n, m = map(int, input().split())
a = [list(map(int, input().split())) for _ in range(n)]
dp = [1] * n
for i in range(n):
    for j in range(i):
        if a[i][j] == 1:
            dp[i] = max(dp[i], dp[j] + 1)
mx = max(dp)
ans = []
for i in range(n):
    if dp[i] == mx:
        ans.append(i + 1)
        mx -= 1
print(len(ans))
print(*ans[::-1])
",evil
413dddee-a132-48a9-9753-e5bef469b529,"
n = int(input())
matrix = [list(map(int, input().split())) for _ in range(n)]
longest_path = 0
path = []

for i in range(n):
    current_path = []
    current_length = 0
    visited = [False] * n
    stack = [i]

    while stack:
        node = stack.pop()
        if not visited[node]:
            visited[node] = True
            current_path.append(node)
            current_length += 1

            for j in range(n):
                if matrix[node][j] == 1 and not visited[j]:
                    stack.append(j)

    if current_length > longest_path:
        longest_path = current_length
        path = current_path

print(longest_path)
print(' '.join(map(str, sorted(path))))
",blackboxai
413dddee-a132-48a9-9753-e5bef469b529,"
n = int(input())
matrix = [list(map(int, input().split())) for _ in range(n)]
visited = [False] * n
longest_path = []
max_length = 0

def dfs(v, path):
    global max_length, longest_path
    visited[v] = True
    path.append(v)
    if len(path) > max_length:
        max_length = len(path)
        longest_path = path[:]
    for i in range(n):
        if matrix[v][i] == 1 and not visited[i]:
            dfs(i, path)
    path.pop()
    visited[v] = False

for i in range(n):
    dfs(i, [])

print(max_length)
print(' '.join(map(str, sorted(longest_path))))
",blackboxai-pro
413dddee-a132-48a9-9753-e5bef469b529,"
n = int(input())
adj = [list(map(int, input().split())) for _ in range(n)]
max_len = 0
max_path = []

for i in range(n):
    visited = [False] * n
    stack = [(i, [i])]
    while stack:
        node, path = stack.pop()
        if len(path) > max_len:
            max_len = len(path)
            max_path = path
        visited[node] = True
        for neighbor in range(n):
            if adj[node][neighbor] and not visited[neighbor]:
                stack.append((neighbor, path + [neighbor]))

print(max_len)
print(' '.join(map(str, max_path)))
",deepseek-v3
413dddee-a132-48a9-9753-e5bef469b529,"
n = int(input())
adj = [list(map(int, input().split())) for _ in range(n)]
max_len = 0
max_path = []

for i in range(n):
    visited = [False] * n
    stack = [(i, [i])]
    while stack:
        node, path = stack.pop()
        if len(path) > max_len:
            max_len = len(path)
            max_path = path
        visited[node] = True
        for neighbor in range(n):
            if adj[node][neighbor] and not visited[neighbor]:
                stack.append((neighbor, path + [neighbor]))

print(max_len)
print(' '.join(map(str, max_path)))
",deepseek-chat
80cacb8a-a6c2-4757-9646-317c1594c18e,"
n, m = map(int, input().split())
a = []
for _ in range(n):
    a.append(list(map(int, input().split())))

b = []
for _ in range(m):
    b.append(list(map(int, input().split())))

c = [[0 for _ in range(n)] for _ in range(n)]
for i in range(n):
    for j in range(n):
        if a[i][j]:
            c[i][j] = 1

d = []
for i in range(m):
    for j in range(n):
        if b[i][j]:
            d.append(j)

e = [0 for _ in range(n)]
for i in d:
    for j in range(n):
        if j - i >= 0 and j - i < n:
            e[j] += c[i][j]

f = [0 for _ in range(n)]
for i in range(n):
    if e[i] == max(e):
        f[i] = 1

ans = [0 for _ in range(n)]
for i in d:
    for j in range(n):
        if j - i >= 0 and j - i < n:
            ans[j] += f[j] * c[i][j]

print(max(ans))
",llama-3.2-3b
80cacb8a-a6c2-4757-9646-317c1594c18e,"
n, m = map(int, input().split())
matrix = [list(map(int, input().split())) for _ in range(n)]
peaks = [int(input()) for _ in range(m)]
res = []

for peak in peaks:
    visited = [False] * n
    queue = [peak]
    visited[peak] = True
    count = 0

    while queue:
        node = queue.pop(0)
        count += 1
        for i in range(n):
            if matrix[node][i] == 1 and not visited[i]:
                visited[i] = True
                queue.append(i)

    res.append(count)

for r in res:
    print(r)
",blackboxai
80cacb8a-a6c2-4757-9646-317c1594c18e,"
N, M = map(int, input().split())
adj = [list(map(int, input().split())) for _ in range(N)]
starts = [int(input()) for _ in range(M)]

for start in starts:
    visited = [False] * N
    queue = []
    queue.append(start)
    visited[start] = True
    res = []
    while queue:
        v = queue.pop(0)
        res.append(v)
        for i in range(N):
            if adj[v][i] == 1 and not visited[i]:
                queue.append(i)
                visited[i] = True
    print(' '.join(map(str, res)))
",deepseek-v3
80cacb8a-a6c2-4757-9646-317c1594c18e,"
N, M = map(int, input().split())
adj = [list(map(int, input().split())) for _ in range(N)]
peaks = [int(input()) for _ in range(M)]

for p in peaks:
    visited = [False] * N
    queue = []
    queue.append(p)
    visited[p] = True
    res = []
    while queue:
        v = queue.pop(0)
        res.append(v)
        for i in range(N):
            if adj[v][i] == 1 and not visited[i]:
                queue.append(i)
                visited[i] = True
    print(' '.join(map(str, res)))
",deepseek-chat
80cacb8a-a6c2-4757-9646-317c1594c18e,"
n, m = map(int, input().split())
matrix = [list(map(int, input().split())) for _ in range(n)]
peaks = [tuple(map(int, input().split())) for _ in range(m)]
res = []

for p in peaks:
    start = p[0] - 1
    queue = [start]
    visited = [False] * n
    visited[start] = True
    width = []

    while queue:
        curr = queue.pop(0)
        width.append(curr + 1)
        for i in range(n):
            if matrix[curr][i] == 1 and not visited[i]:
                visited[i] = True
                queue.append(i)

    res.append(' '.join(map(str, width)))

print('\n'.join(res))
",evil
80cacb8a-a6c2-4757-9646-317c1594c18e,"
n, m = map(int, input().split())
matrix = [list(map(int, input().split())) for _ in range(n)]
peaks = [list(map(int, input().split())) for _ in range(m)]
res = []

for peak in peaks:
    start = peak[0] - 1
    visited = [False] * n
    queue = [start]
    visited[start] = True
    count = 0

    while queue:
        node = queue.pop(0)
        count += 1
        for i in range(n):
            if matrix[node][i] == 1 and not visited[i]:
                visited[i] = True
                queue.append(i)

    res.append(count)

for r in res:
    print(r)
",blackboxai-pro
0cc13605-3cb0-48e8-a8d7-10d2e1b77520,"
n = int(input())
a = [input().split() for _ in range(n)]
for i in range(n):
  for j in range(i+1, n):
    if a[i][j] == '1':
      top = j
      while True:
        print(j+1, end=' ')
        for k in range(n):
          if a[k][j] == '1':
            top = k
            break
        j = top
        break
      print()
",llama-3.2-3b
0cc13605-3cb0-48e8-a8d7-10d2e1b77520,"
n=int(input())
a=[[int(j) for j in input().split()] for i in range(n)]
v=[0]*n
t=[0]*n
def dfs(u):
    v[u]=1
    for i in range(n):
        if a[u][i]==1 and v[i]==0:
            t[i]=u+1
            dfs(i)
dfs(0)
for i in range(n):
    print(i+1,t[i])
",evil
0cc13605-3cb0-48e8-a8d7-10d2e1b77520,"
n = int(input())
adj = [list(map(int, input().split())) for _ in range(n)]
visited = [False] * n
order = 0

def dfs(v):
    global order
    if not visited[v]:
        visited[v] = True
        order += 1
        print(v, order)
        for u in range(n):
            if adj[v][u] == 1 and not visited[u]:
                dfs(u)

for i in range(n):
    if not visited[i]:
        dfs(i)
",deepseek-chat
0cc13605-3cb0-48e8-a8d7-10d2e1b77520,"
n = int(input())
adj = [list(map(int, input().split())) for _ in range(n)]
visited = [False] * n
order = 0

def dfs(v):
    global order
    if not visited[v]:
        visited[v] = True
        order += 1
        print(v, order)
        for u in range(n):
            if adj[v][u] == 1 and not visited[u]:
                dfs(u)

for i in range(n):
    if not visited[i]:
        dfs(i)
",deepseek-v3
0cc13605-3cb0-48e8-a8d7-10d2e1b77520,"
n = int(input())
matrix = [input().strip() for _ in range(n)]
visited = [False] * n
order = 0
res = []

def dfs(v):
    global order
    visited[v] = True
    order += 1
    res.append((v, order))
    for i in range(n):
        if matrix[v][i] == '1' and not visited[i]:
            dfs(i)

for i in range(n):
    if not visited[i]:
        dfs(i)

for r in res:
    print(r[0], r[1])
",blackboxai
0cc13605-3cb0-48e8-a8d7-10d2e1b77520,"
n = int(input())
matrix = [input().strip() for _ in range(n)]
visited = [False] * n
order = 0
res = []

def dfs(v):
    global order
    visited[v] = True
    order += 1
    res.append((v, order))
    for i in range(n):
        if matrix[v][i] == '1' and not visited[i]:
            dfs(i)

for i in range(n):
    if not visited[i]:
        dfs(i)

for r in res:
    print(r[0], r[1])
",blackboxai-pro
cdd79a46-8605-41d1-a344-70e7c6a9b8c2,"
n, m = map(int, input().split())
adj_matrix = [['0'] * n for _ in range(n)]

for _ in range(m):
    u, v = map(int, input().split())
    u -= 1
    v -= 1
    adj_matrix[u][v] = '1'
    adj_matrix[v][u] = '1'

for row in adj_matrix:
    print(' '.join(row))
",llama-3.2-3b
cdd79a46-8605-41d1-a344-70e7c6a9b8c2,"
n, m = map(int, input().split())
matrix = [[0] * n for _ in range(n)]
for _ in range(m):
    u, v = map(int, input().split())
    matrix[u][v] = 1
for row in matrix:
    print(' '.join(map(str, row)))
",blackboxai
cdd79a46-8605-41d1-a344-70e7c6a9b8c2,"
n, m = map(int, input().split())
matrix = [[0] * n for _ in range(n)]
for _ in range(m):
    a, b = map(int, input().split())
    matrix[a][b] = 1
for row in matrix:
    print(' '.join(map(str, row)))
",deepseek-chat
cdd79a46-8605-41d1-a344-70e7c6a9b8c2,"
n, m = map(int, input().split())
mat = [[0] * n for _ in range(n)]
for _ in range(m):
    a, b = map(int, input().split())
    mat[a][b] = 1
for row in mat:
    print(' '.join(map(str, row)))
",deepseek-v3
cdd79a46-8605-41d1-a344-70e7c6a9b8c2,"
n, m = map(int, input().split())
matrix = [[0] * n for _ in range(n)]
for _ in range(m):
    u, v = map(int, input().split())
    matrix[u][v] = 1
for row in matrix:
    print(' '.join(map(str, row)))
",blackboxai-pro
cdd79a46-8605-41d1-a344-70e7c6a9b8c2,"
n, m = map(int, input().split())
matrix = [[0]*n for _ in range(n)]
for _ in range(m):
    u, v = map(int, input().split())
    matrix[u][v] = 1
for row in matrix:
    print(' '.join(map(str, row)))
",evil
95831070-88fb-406f-8997-c0fc4027d623,"
n = int(input())
mat = []
for i in range(n):
    row = list(map(int, input().split()))
    mat.append(row)

for i in range(n):
    for j in range(n):
        if mat[i][j] == 1:
            mat[j][i] = 1

for row in mat:
    print(' '.join(map(str, row)))
",evil
95831070-88fb-406f-8997-c0fc4027d623,"
n = int(input())
matrix = [list(map(int, input().split())) for _ in range(n)]
unoriented_matrix = [[0] * n for _ in range(n)]

for i in range(n):
    for j in range(n):
        if matrix[i][j] == 1 or matrix[j][i] == 1:
            unoriented_matrix[i][j] = 1
            unoriented_matrix[j][i] = 1

for row in unoriented_matrix:
    print(' '.join(map(str, row)))
",blackboxai-pro
95831070-88fb-406f-8997-c0fc4027d623,"
n = int(input())
matrix = [list(map(int, input().split())) for _ in range(n)]
unoriented_matrix = [[0]*n for _ in range(n)]

for i in range(n):
    for j in range(n):
        if matrix[i][j] == 1 or matrix[j][i] == 1:
            unoriented_matrix[i][j] = 1
            unoriented_matrix[j][i] = 1

for row in unoriented_matrix:
    print(' '.join(map(str, row)))
",blackboxai
95831070-88fb-406f-8997-c0fc4027d623,"
n = int(input())
mat = [list(map(int, input().split())) for _ in range(n)]

for i in range(n):
    for j in range(n):
        if mat[i][j] == 1:
            mat[j][i] = 1

for row in mat:
    print(' '.join(map(str, row)))
",deepseek-chat
95831070-88fb-406f-8997-c0fc4027d623,"
n = int(input())
a = []
for i in range(n):
    row = list(map(int, input().split()))
    a.append(row)

b = [[0 for i in range(n)] for i in range(n)]
for i in range(n):
    for j in range(n):
        if a[i][j] == 1:
            b[i][j] = 1
            b[j][i] = 1

for i in range(n):
    for j in range(n):
        print(b[i][j], end=' ')
    print()
",llama-3.2-3b
ead36ff4-8cf1-4c6c-8a43-ab69f623fde7,"
n = int(input())
a = [list(map(int, input().split())) for _ in range(n)]
b = [[0]*n for _ in range(n)]
for i in range(n):
    for j in range(n):
        if a[i][j] == 1:
            if j > 0:
                b[i][j] = b[i][j-1]
            if i > 0:
                if b[i-1][j] > b[i][j]:
                    b[i][j] = b[i-1][j]
for i in range(n):
    for j in range(n):
        if a[i][j] == 1:
            print(b[i][j], end=' ')
    print()
",llama-3.2-3b
ead36ff4-8cf1-4c6c-8a43-ab69f623fde7,"
n = int(input())
matrix = [input().strip() for _ in range(n)]
visited = [False] * n
prev = [-1] * n
stack = []

for i in range(n):
    if not visited[i]:
        stack.append(i)
        while stack:
            v = stack.pop()
            if not visited[v]:
                visited[v] = True
                for j in range(n):
                    if matrix[v][j] == '1' and not visited[j]:
                        stack.append(j)
                        prev[j] = v

for i in range(n):
    print(i, prev[i])
",blackboxai
ead36ff4-8cf1-4c6c-8a43-ab69f623fde7,"
n = int(input())
adj = [list(map(int, input().split())) for _ in range(n)]
visited = [False] * n
prev = [-1] * n
stack = []

for i in range(n):
    if not visited[i]:
        stack.append(i)
        visited[i] = True
        while stack:
            v = stack.pop()
            for u in range(n):
                if adj[v][u] and not visited[u]:
                    visited[u] = True
                    prev[u] = v
                    stack.append(u)

for i in range(n):
    print(i, prev[i])
",deepseek-chat
ead36ff4-8cf1-4c6c-8a43-ab69f623fde7,"
n = int(input())
adj = [list(map(int, input().split())) for _ in range(n)]
visited = [False] * n
prev = [-1] * n
stack = []

for i in range(n):
    if not visited[i]:
        stack.append(i)
        while stack:
            v = stack.pop()
            if not visited[v]:
                visited[v] = True
                for u in range(n-1, -1, -1):
                    if adj[v][u] and not visited[u]:
                        prev[u] = v
                        stack.append(u)

for i in range(n):
    print(i, prev[i])
",deepseek-v3
ead36ff4-8cf1-4c6c-8a43-ab69f623fde7,"
n = int(input())
matrix = [input().strip() for _ in range(n)]
visited = [False] * n
prev = [-1] * n
stack = []

for i in range(n):
    if not visited[i]:
        stack.append(i)
        while stack:
            v = stack.pop()
            if not visited[v]:
                visited[v] = True
                for j in range(n):
                    if matrix[v][j] == '1' and not visited[j]:
                        stack.append(j)
                        prev[j] = v

for i in range(n):
    print(i, prev[i])
",blackboxai-pro
ead36ff4-8cf1-4c6c-8a43-ab69f623fde7,"
n = int(input())
matrix = [input().strip() for _ in range(n)]
visited = [False] * n
prev = [-1] * n
stack = []

for i in range(n):
    if not visited[i]:
        stack.append(i)
        while stack:
            node = stack.pop()
            if not visited[node]:
                visited[node] = True
                for j in range(n):
                    if matrix[node][j] == '1' and not visited[j]:
                        prev[j] = node
                        stack.append(j)

for i in range(n):
    print(i, prev[i])
",evil
82028d7b-804a-4c3d-acf8-29bc892147e5,"
n = int(input())
adj_matrix = [input().split() for _ in range(n)]
adj_matrix = [list(map(int, row)) for row in adj_matrix]

is_graph = True
for i in range(n):
    for j in range(n):
        if adj_matrix[i][j] == 1 and (i == j or adj_matrix[j][i] == 0):
            is_graph = False
            break
    if not is_graph:
        break

print('Yes' if is_graph else 'No')
",llama-3.2-3b
82028d7b-804a-4c3d-acf8-29bc892147e5,"
n = int(input())
matrix = [input().strip() for _ in range(n)]
is_connected = True

for i in range(n):
    if matrix[i].count('1') == 0:
        is_connected = False
        break

if is_connected:
    for i in range(n):
        for j in range(n):
            if matrix[i][j] == '1' and matrix[j][i] == '0':
                is_connected = False
                break
        if not is_connected:
            break

if is_connected:
    print('Yes')
else:
    print('no')
",blackboxai
82028d7b-804a-4c3d-acf8-29bc892147e5,"
n = int(input())
matrix = [input().strip() for _ in range(n)]
is_connected = True

for i in range(n):
    if matrix[i].count('1') == 0:
        is_connected = False
        break

if is_connected:
    for i in range(n):
        for j in range(n):
            if matrix[i][j] == '1' and matrix[j][i] == '0':
                is_connected = False
                break
        if not is_connected:
            break

if is_connected:
    print('Yes')
else:
    print('no')
",blackboxai-pro
82028d7b-804a-4c3d-acf8-29bc892147e5,"
n=int(input())
g=[]
for i in range(n):
    g.append(list(map(int,input().split())))

visited=[False]*n
stack=[0]
while stack:
  u=stack.pop()
  if not visited[u]:
    visited[u]=True
    for v in range(n):
      if g[u][v]==1 and not visited[v]:
        stack. append(v)

if False in visited:
  print('no')
else:
 print(""Yes"")
",deepseek-v3
82028d7b-804a-4c3d-acf8-29bc892147e5,"
n = int(input())
adj = [list(map(int, input().split())) for _ in range(n)]
visited = [False] * n
stack = [0]

while stack:
    node = stack.pop()
    if not visited[node]:
        visited[node] = True
        for neighbor in range(n):
            if adj[node][neighbor] and not visited[neighbor]:
                stack.append(neighbor)

if all(visited):
    print(""Yes"")
else:
    print(""No"")
",deepseek-chat
82028d7b-804a-4c3d-acf8-29bc892147e5,"
n = int(input())
matrix = [input().strip() for _ in range(n)]
coherent = True

for i in range(n):
    if matrix[i].count('1') == 0:
        coherent = False
        break

if coherent:
    print('Yes')
else:
    print('No')
",evil
2924cfce-8ebf-4fe5-aa8e-046256297fb1,"
n = int(input())
a = [list(map(int, input().split())) for _ in range(n)]

b = [i for i in range(n) if a[i][i] == 1]
c = [i for i in range(n) if a[i][i] == 0]

for i in range(n):
    for j in range(n):
        if a[j][i] == 1:
            b.remove(j)

for i in b:
    for j in c:
        if a[i][j] == 1:
            c.remove(j)

print(*c)
",llama-3.2-3b
2924cfce-8ebf-4fe5-aa8e-046256297fb1,"
n = int(input())
graph = []
for i in range(n):
    row = input().split()
    graph.append([int(x) for x in row])

indegree = [0]*n
for i in range(n):
    for j in range(n):
        if graph[i][j] == 1:
            indegree[j] += 1

res = []
while len(res) < n:
    for i in range(n):
        if indegree[i] == 0 and i not in res:
            res.append(i)
            for k in range(n):
                if graph[i][k] == 1:
                    indegree[k] -= 1
            break

print(*[x+1 for x in res])
",deepseek-v3
2924cfce-8ebf-4fe5-aa8e-046256297fb1,"
n = int(input())
matrix = [input().strip() for _ in range(n)]
indegree = [0] * n
for i in range(n):
    for j in range(n):
        if matrix[i][j] == '1':
            indegree[j] += 1
queue = []
for i in range(n):
    if indegree[i] == 0:
        queue.append(i)
res = []
while queue:
    node = queue.pop(0)
    res.append(node + 1)
    for j in range(n):
        if matrix[node][j] == '1':
            indegree[j] -= 1
            if indegree[j] == 0:
                queue.append(j)
print(' '.join(map(str, res)))
",blackboxai-pro
2924cfce-8ebf-4fe5-aa8e-046256297fb1,"
n = int(input())
matrix = [input().strip() for _ in range(n)]
indegree = [0] * n
for i in range(n):
    for j in range(n):
        if matrix[i][j] == '1':
            indegree[j] += 1
queue = []
for i in range(n):
    if indegree[i] == 0:
        queue.append(i)
res = []
while queue:
    node = queue.pop(0)
    res.append(node + 1)
    for j in range(n):
        if matrix[node][j] == '1':
            indegree[j] -= 1
            if indegree[j] == 0:
                queue.append(j)
print(' '.join(map(str, res)))
",blackboxai
2924cfce-8ebf-4fe5-aa8e-046256297fb1,"
n = int(input())
adj = [list(map(int, input().split())) for _ in range(n)]
in_degree = [0] * n

for i in range(n):
    for j in range(n):
        if adj[i][j]:
            in_degree[j] += 1

queue = [i for i in range(n) if in_degree[i] == 0]
res = []

while queue:
    u = queue.pop(0)
    res.append(u)
    for v in range(n):
        if adj[u][v]:
            in_degree[v] -= 1
            if in_degree[v] == 0:
                queue.append(v)

print(' '.join(map(str, res)))
",deepseek-chat
2924cfce-8ebf-4fe5-aa8e-046256297fb1,"
n = int(input())
matrix = [list(map(int, input().strip())) for _ in range(n)]
indegree = [0] * n
for i in range(n):
    for j in range(n):
        if matrix[i][j] == 1:
            indegree[j] += 1
queue = []
for i in range(n):
    if indegree[i] == 0:
        queue.append(i)
res = []
while queue:
    node = queue.pop(0)
    res.append(node + 1)
    for j in range(n):
        if matrix[node][j] == 1:
            indegree[j] -= 1
            if indegree[j] == 0:
                queue.append(j)
print(' '.join(map(str, res)))
",evil
7880445a-3568-4939-8f55-d80530b696c0,"
N, V = map(int, input().split())
A = [list(map(int, input().split())) for _ in range(N)]
M = int(input())
for _ in range(M):
    W = int(input()) - 1
    dist = [float('inf')] * N
    dist[V - 1] = 0
    q = [(0, V - 1)]
    while q:
        d, w = q.pop(0)
        for i in range(N):
            if A[w][i] == 1 and dist[i] > d + 1:
                dist[i] = d + 1
                q.append((dist[i], i))
    if dist[W] == float('inf'):
        print(-1)
    else:
        path = []
        w = W
        while w != V - 1:
            for i in range(N):
                if A[w][i] == 1 and dist[i] == dist[w] - 1:
                    w = i
                    break
            path.append(w + 1)
        path.append(V)
        path.reverse()
        print(*path)
",llama-3.2-3b
7880445a-3568-4939-8f55-d80530b696c0,"
n, v = map(int, input().split())
v -= 1
matrix = [list(map(int, input().split())) for _ in range(n)]
m = int(input())
targets = [int(input()) - 1 for _ in range(m)]
dist = [-1] * n
dist[v] = 0
queue = [v]
while queue:
    curr = queue.pop(0)
    for i in range(n):
        if matrix[curr][i] == 1 and (dist[i] == -1 or dist[i] > dist[curr] + 1):
            dist[i] = dist[curr] + 1
            queue.append(i)
for t in targets:
    print(dist[t])
",blackboxai
7880445a-3568-4939-8f55-d80530b696c0,"
N, V = map(int, input().split())
V -= 1
graph = [list(map(int, input().split())) for _ in range(N)]
M = int(input())
targets = [int(input()) - 1 for _ in range(M)]
dist = [-1] * N
dist[V] = 0
queue = [V]
while queue:
    node = queue.pop(0)
    for i in range(N):
        if graph[node][i] == 1 and (dist[i] == -1 or dist[i] > dist[node] + 1):
            dist[i] = dist[node] + 1
            queue.append(i)
for t in targets:
    print(dist[t])
",evil
