 ,code,real,predicted
108,"n = int(input())        \r\ngr = [[] * n for i in range(n)]\r\ngr2 = [[0] * n for i in range(n)]\r\nfor i in range(n):\r\n    gr[i] = [int(t) for t in input().split()]\r\n\r\nfor i in range(n):\r\n    for j in range(n):\r\n        if i==j:\r\n            gr[i][j]=1\r\ngr2=gr\r\nfor k in range(n):\r\n    \r\n    for i in range(n):\r\n        for j in range(n):\r\n            for z  in range(n):\r\n                if gr2[i][j]==0:\r\n                    gr2[i][j]=gr2[i][z]*gr[z][j]\r\nfor i in range(n):\r\n    for j in range(n):\r\n        if i==j:\r\n            gr2[i][j]=0  \r\n               \r\nfor row in gr2:\r\n    print(' '.join(map(str, row)))",0,0.0
109,"n = int(input())\r\na = list(map(int, input().split()))\r\nc = [a[0]]\r\nfor j in range(0, n - 1 ):\r\n    if a[j+1] != a[j]:\r\n        c.append(a[j+1])\r\n#print(c)\r\nk = len(c)\r\ns = k\r\nfor j in range(1, k - 1):\r\n    if c[j-1] < c[j] < c[j+1]:\r\n        s -= 1\r\n    if c[j-1] > c[j] > c[j+1]:\r\n        s -= 1        \r\nprint(s)\r\n    ",0,0.0
110,"n, m = map(int, input().split())\nprint((m // 2) * n)\n\n\n\n\n\n",0,1.4487065661881423e-36
111,"a1,b1=map(int,input().split())\na2,b2=map(int,input().split())\na3,b3=map(int,input().split())\nif a2>b2:\n    c2=b2\nelse:\n    c2=a2\nif a3>b3:\n    c3=b3\nelse:\n    c3=a3\nc4=b1-c2\nc5=a1-c3\nprint(c4,c5)",0,0.0
112,"\r\na=int(input())\r\nb=int(input())\r\nr=0\r\nmx=0\r\ndef inDel( x ):\r\n    inDel=[1]\r\n    for i in range (1,x):\r\n        if x%i==0:\r\n            inDel.append(i)\r\n    return inDel\r\nfor k in range (a,b-1):\r\n    if len(inDel(k))>=mx:\r\n        mx=len(inDel(k))\r\n        a=k\r\nprint(mx,a,a//2)\r\n",0,0.0
113,"n,m=map(int,input().split())\r\nmas=[[0]*n for i in range(n)]\r\nfor i in range(m):\r\n    a,b=map(int,input().split())\r\n    mas[a-1][b-1]=1\r\n    mas[b-1][a-1]=1\r\nfor i in mas:\r\n    print(' '.join(map(str,i)))\r\n",0,0.0
114,"n, m, k = map(int, input().split())\r\nf = m >= n and k >= n\r\nprint('YES') if f == 1 else print('NO')",0,8.549086595978708e-15
115,"
G, S, H, R = map(int, input().split())
M = int(input())

max_students = max(G, S, H, R)
min_in_class = (max_students + M - 1) // M

print(min_in_class)
",1,1.0
116,"n=int(input())\nprint(min(list(map(int,input().split()))))",0,2.6319801893492922e-09
117,"n = int(input())matrix = [list(map(int, input().split())) for _ in range(n)]transposed = [[0] * n for _ in range(n)]for i in range(n):for j in range(n):transposed[j][i] = matrix[i][j]for row in transposed:print(' '.join(map(str, row)))",1,1.0
118,"n = int(input())\nmx = -1\nsu = 0\nmas = list(map(int, input().split()))\nfor a in mas:\n    su += a\n    mx = max(mx, a)\ns = mx*n -su\nprint(s)",0,5.529300429302453e-35
119,"def solve():\n    n, k, s = map(int, input().split())\n    p = list(map(int, input().split()))\n\n    def check(time):\n        count = 1\n        current_sum = 0\n        for x in p:\n            if (x + s - 1) // s > time:\n                return False\n            if current_sum + x > time * s:\n                count += 1\n                current_sum = 0\n            current_sum += x\n        return count <= k\n\n    left = max((x+s-1)//s for x in p)\n    right = sum(p)\n    ans = right\n\n    while left <= right:\n        mid = (left + right) // 2\n        if check(mid):\n            ans = mid\n            right = mid - 1\n        else:\n            left = mid + 1\n\n    print(ans)\n\nsolve()\n",0,0.0
120,"
n, m, k = map(int, input().split())

def min_helicopters(n, m, k):
    if k < 3:
        return 0
    if n + m <= k:
        return 1
    total_people = n + m
    helicopters_needed = (total_people + (k - 2) - 1) // (k - 2)
    return helicopters_needed

print(min_helicopters(n, m, k))
",1,1.0
121,"def main():
    n = int(input())
    a = list(map(int, input().split()))
    b = list(map(int, input().split()))

    distance = 0
    for i in range(n):
        if a[i] == b[i]:
            distance += a[i]

    print(distance)

if __name__ == ""__main__"":
    main()",1,1.0
122,"a = int(input())
b = int(input())
c = int(input())
if a == b and a == c:
  print(3)
elif a == b or a == c or b == c:
  print(2)
else:
  print(0)
",1,1.0
123,"keyboard = {\n    'a': 's', 's': 'd', 'd': 'f', 'f': 'g', 'g': 'h',\n    'h': 'j', 'j': 'k', 'k': 'l', 'l': 'z', 'z': 'x',\n    'x': 'c', 'c': 'v', 'v': 'b', 'b': 'n', 'n': 'm',\n    'm': 'q', 'q': 'w', 'w': 'e', 'e': 'r', 'r': 't',\n    't': 'y', 'y': 'u', 'u': 'i', 'i': 'o', 'o': 'p',\n    'p': 'a'\n}\n\nletter = input()\nprint(keyboard[letter])",0,1.0
124,"
a, b, c, d = map(int, input().split())

if d < b:
    c -= 1
    d += 60

hours = c - a
minutes = d - b

print(hours, minutes)
",1,1.0
125,"a,b,c,d = map(int, input().split())\r\nfor i in range(a,b+1):\r\n    if i % d == c:\r\n        print(i,end=' ')",0,1.6293041847355414e-27
126,"x=int(input())\r\ny=x-2\r\nif (y%10==1) and y!=11:\r\n    print(y,""mag"")\r\nelif y%10==2 or y%10==3 or y%10==4 and (y!=12 and y!=13 and y!=14):\r\n    print(y,""maga"")\r\nelse:\r\n    print(y,""magov"")",0,0.0
127,"
def yarn_price(n):
    return (n + 99) // 100

n = int(input())
print(yarn_price(n))
",1,0.9999918937683105
128,"n = int(input())\r\na = list(map(int, input().split()))\r\nmx = 0\r\nfor i in range(1, 101):\r\n    mx = max(mx, a.count(i))\r\nprint(mx)",0,0.0
129,a1=input().split()\r\na=[int(w) for w in (a1)]\r\ns=0\r\nfor i in range(100):\r\n    s*=1000\r\nif a[0]==a[1]: print(0)\r\nelif (a[0]>0 and a[1]>0) or (a[0]<0 and a[1]<0): print(a[0]+a[1])\r\nelse: print(a[0]*a[1])\r\n,0,0.0
130,"\na, b = map(int, input().split())\nprint(a + b)",0,2.1014892842390054e-13
131,"n=int(input())\nz=[input().split() for i in range(n)]\nfor i in range(n):\n    a=int(z[i][0])\n    b=int(z[i][1])\n    if a<=b:\n        print(""NO"")\n    else:\n        print(""YES"")",0,6.761754311687107e-36
132,"
m1, m2, m3 = map(int, input().split())
positions = [m1, m2, m3]
min_distance = float('inf')

for target in positions:
    distance = sum(abs(target - pos) for pos in positions)
    if distance < min_distance:
        min_distance = distance

print(min_distance)
",1,1.0
133,"x, y, z = map(int, input().split())\nif y % 3 != 0:\n    if (y % 3) + z < 3:\n        print(-1)\n    else:\n        m = x + y // 3 + (y % 3 + z) // 3\n        if (y % 3 + z) % 3 != 0:\n            print(m + 1)\n        else:\n            print(m)\nelse:\n    m = x + y // 3 + (y % 3 + z) // 3\n    if (y % 3 + z) % 3 != 0:\n        print(m + 1)\n    else:\n        print(m)\n",0,0.0
134,"a = int(input())\r\nb = int(input())\r\nc = int(input())\r\nm = a\r\nif b >m:\r\n    m = b\r\nif c > m:\r\n    m = c\r\n\r\nmi = a\r\nif mi > b:\r\n    mi = b\r\nif mi > c:\r\n    mi = c\r\n\r\nsr = a+b+c\r\nsr =sr-(mi+m)\r\nprint(mi,sr,m)\r\n",0,0.0
135,"
a, b = map(int, input().split())
result = []

for m in range(1, 20):  # m is odd
    for n in range(0, 20):  # n is even
        N = (2 ** m) * (3 ** n)
        if a <= N <= b:
            result.append(N)

result.sort()
for number in result:
    print(number)
",1,1.0
136,a = list(input())\ns = list(input())\ns.sort(reverse = True)\n \nj = 0\nfor i in range(len(a)):\n    if a[i] < s[j]:\n        a[i] = s[j]\n        j += 1\n    if j == len(s):\n        break\nprint(''.join(a)),0,0.0
137,"n, a, b = map(int, input().split())\nif b < n or a < n:\n    print(""NO"")\n    exit(0)\nprint(""YES"")",0,2.964628757075005e-19
138,q=input()\nw=list(input())\nw.sort()\nfor i in range(len(q)):\n    if q[i]<w[-1]:\n        q=q[:i]+w[-1]+q[i+1:]\n        w=w[:-1]\nprint(q),0,4.123697732847926e-33
139,"A = int(input())

def is_divisor_ending_in_7(n):
    for i in range(17, n, 10):
        if n % i == 0:
            return i
    return None

count = 0
num = A + 1

while count < 5:
    divisor = is_divisor_ending_in_7(num)
    if divisor:
        print(num, divisor)
        count += 1
    num += 1",1,1.0
140,"a=int(input())\nfor i in range(a):\n    k=0\n    b,c=map(int,input().split())\n    for i in range(1,100000000):\n        b=b-i\n        if b<0:\n            break\n        k=k+1\n        b=b-i\n        if b<0:\n            break\n        k=k+1\n    if k>=c:\n        print(""YES"")\n    else:\n        print(""NO"")",0,0.0
141,"
n, z = map(int, input().split())
number = input().strip()
max_number = """"
inserted = False

for i in range(n):
    if not inserted and z > int(number[i]):
        max_number += str(z)
        inserted = True
    max_number += number[i]

if not inserted:
    max_number += str(z)

print(max_number)
",1,1.0
142,"n,k=[int(x)for x in input().split()]
ans=0
for i in range(1,n+1):
    if ans*5+k<=240:
        ans+=1
    else:
        break
print(ans)",1,1.0
143,"a = input()\r\nprint(int(a,2))\r\n",0,3.518227182787621e-23
144,import math\r\nh= int(input())\r\na=int(input())\r\nb=int(input())\r\nprint(math.ceil((h - b)/(a - b))),0,1.0679728317585214e-36
145,"def max_cars(g, c, h):
    if g == 2:
        return 2 + min(c, h)
    else:
        return 2 + (g - 2) * 2 + min(c, h)

g, c, h = map(int, input().split())
print(max_cars(g, c, h))",1,1.0
146,"
import sys

def main():
  k = int(input())
  n = int(input())

  test_tubes = []
  for _ in range(n):
    m = int(input())
    percentages = [int(x) for x in input().split()]
    test_tubes.append((m, percentages))

  test_tubes.sort(key=lambda x: x[1][0])

  cur_percentages = test_tubes[0][1][0]
  cur_count = test_tubes[0][0]
  total_increase = 0

  for i in range(1, n):
    m, percentages = test_tubes[i]
    if cur_percentages == percentages[0]:
      cur_count += m
    else:
      total_increase += (percentages[0] - cur_percentages) * cur_count
      cur_percentages = percentages[0]
      cur_count = m

  print(total_increase)

if __name__ == ""__main__"":
  main()
",1,1.0
147,"
n, a, b = map(int, input().split())
if a >= n and b >= n:
    print(""YES"")
else:
    print(""NO"")
",1,1.0
148,"def count_flowers(k, a, b):\n    position = 0\n    flowers = set()\n    drawn_flower = False\n\n    for _ in range(k):\n        position += a\n        if position < 0:\n            position -= b\n        else:\n            position += b\n\n        if position in flowers:\n            drawn_flower = True\n        else:\n            flowers.add(position)\n\n    return len(flowers) if not drawn_flower else len(flowers) - 1\n\n\nk, a, b = map(int, input().split())\n\n\nresult = count_flowers(k, a, b)\nprint(result+1)\n",0,0.0
149,"print(""ABC"")
",1,0.9767277836799622
150,"mas = list(map(int, input().split()))\r\nmas.sort()\r\nprint(mas[0]*2 + mas[1]*2)",0,4.080790035178971e-25
151,"x=int(input())\n\n\ndef ko(x):\n    sp=[]\n    for t in range(1,int(x**0.5)+1):\n        if x%t==0:\n            sp.append(t)\n            if t!=x//t:\n                sp.append(x//t)\n    sp.sort()\n    sp.reverse()\n    spf=[]\n    \n    spf=sp[1:3]\n    \n    return spf\nk=0\n\n\nfor i in range(x+1,x*10):\n    spd=ko(i)\n    if k==5:\n        break\n    if len(spd)==2:\n        \n        if sum(spd)<10000:\n            print(i,sum(spd))\n            k+=1",0,0.0
152,"def main():
    n = int(input())
    votes = list(map(int, input().split()))

    count = [0] * 101
    for vote in votes:
        count[vote] += 1

    max_count = max(count[1:])
    if count[0] >= max_count:
        print(0)
    else:
        print(count.index(max_count, 1))

if __name__ == ""__main__"":
    main()",1,1.0
153,"a,b=input().split()\na,b=int(a),int(b)\nb=240-b\nc=0\ns=0\nfor i in range(1,a+1):\n    \n    c+=i*5\n    if c>b:\n        break\n    s+=1\nprint(s)\n",0,0.0
154,"a=input()\nts,maxts=1,0\nfor i in range(len(a)-1):\n    if (a[i]=='K' and a[i+1]=='L')or(a[i]=='L' and a[i+1]=='K'):\n        ts=1\n    else:\n        ts+=1\n        if maxts<ts:\n            maxts=ts\nprint(maxts)\n\n",0,0.0
155,"n, a, b=map(int, input().split())\nif n<=a and n<=b:\n    print('YES')\nelse:\n    print('NO')",0,1.2149676482782154e-15
156,"k,r=map(int,input().split())
print((k+r-1)//r)",1,0.9985706806182861
157,"a=input()\nk,mk=1,0\nfor i in range(len(a)-1):\n    if (a[i]=='K' and a[i+1]=='L')or(a[i]=='L' and a[i+1]=='K'):\n        k=1\n    else:\n        k+=1\n        if mk<k:\n            mk=k\n        \nprint(mk)\n\n            \n            \n            \n            \n",0,0.0
158,"a, b = input(), input()\ns = a+b\nelem1 = s.count(s[0])\nelem2 = s.count(s[1])\nelem3 = s.count(s[2])\nelem4 = s.count(s[3])\n\nif elem1 == 4 or elem2 == 4 or elem3 == 4 or elem4 == 4:\n    print(0)\nelif elem1 == 3 or elem2 == 3 or elem3 == 3 or elem4 == 3:\n    print(2)\nelif elem1 == 2 or elem2 == 2 or elem3 == 2 or elem4 == 2:\n    if elem1 == elem2 and elem2 == elem3 and elem3 == elem4:\n        print(1)\n    else:\n        print(2)\nelse:\n    print(3)\n",0,0.0
159,"
a = int(input())
b = int(input())
c = int(input())
if a > b:
    a, b = b, a
if a > c:
    a, c = c, a
if b > c:
    b, c = c, b
print(a, b, c)
",1,1.0
160,"from math import log2\r\nn = int(input())\r\nwhile n!=0:\r\n    print(int(log2(n))+1,end=' ')\r\n    n-=2**(int(log2(n)))",0,1.8017264509460166e-37
161,"
def max_people_with_neighbors(n):
    return (n // 2) + (n // 4)

n = int(input())
print(max_people_with_neighbors(n))
",1,0.9999947547912598
162,"def print_napkin(n):
    for i in range(n):
        for j in range(n - i - 1):
            print("" "", end="""")
        for j in range(2 * i + 1):
            print(j // 2, end="" "")
        print()
    for i in range(n - 1):
        for j in range(i + 1):
            print("" "", end="""")
        for j in range(2 * (n - i - 1) - 1):
            print((n - i - 1) - (j // 2), end="" "")
        print()

n = int(input())
print_napkin(n)",1,1.0
163,"n,m=map(int,input().split())\na1=(m-2)*(n-2)\na2=n*m-a1\nprint(a2,a1)",0,4.280107113312733e-18
164,"N = int(input())S = input().strip()files = 0for operation in S:if operation == ""+"":files += 1elif operation == ""-"":files = max(0, files - 1)print(files)",1,1.0
165,"n,k,t,c,d,p,nl,np=map(int,input().split())\r\nt=k*t\r\nd=d*c\r\na=0\r\nb=0\r\nwhile(t>=nl and d>=1 and p>=np):\r\n    a+=1\r\n    b+=1\r\n    t-=nl\r\n    d-=1\r\n    p-=np\r\n    if b>n:\r\n        b=1\r\nprint(a,b)",0,0.0
166,"k=int(input())\nfor i in range(0,k):\n    a,b=map(int,input().split())\n    if a>b and sum(range(1,a-b))>=a :\n        print(""YES"")\n    else:\n        print(""NO"")",0,6.811543516019245e-27
167,"n1, n2 = map(int, input().split())
n3, n4 = map(int, input().split())

if n1 + n2 > n3 + n4:
    print(n1, n2)
elif n3 + n4 > n1 + n2:
    print(n3, n4)
else:
    print(n1, n2, n3, n4)
",1,1.0
168,"a,b=map(int,input().split())\ndef kd(x):\n    sp=[]\n    for t in range(1,int(x**0.5)+1):\n        if x%t==0:\n            sp.append(t)\n            if x//t!=t:\n                sp.append(x//t)\n    sp.sort()\n    return(sp)\nspd=[]\nk=0\nfor i in range(a,b):\n    spd=kd(i)\n    bl=[]\n    for j in spd:\n        if j%2==0:\n            bl.append(j)\n    if len(bl)==3:\n        print(i)",0,0.0
169,"k = int(input())\nnow = 10\nfor i in range(k):\n    new = now + 9\n    while sum(list(map(int, list(str(new))))) != 10:\n        new += 9\n    now = new\nprint(now)",0,4.353209846880404e-29
170,"
n = int(input())
i = 0
while i < n:
    print(""I must not tell lies"")
    i += 1
",1,0.9999998807907104
171,"
n = int(input())
w = list(map(int, input().split()))
left_sum = 0
right_sum = sum(w)
left_count = 0
right_count = n

while left_count < right_count:
    if left_sum < right_sum:
        left_sum += w[left_count]
        left_count += 1
    elif left_sum > right_sum:
        right_sum -= w[right_count - 1]
        right_count -= 1
    else:
        left_sum += w[left_count]
        left_count += 1
        right_sum -= w[right_count - 1]
        right_count -= 1

if left_sum == right_sum:
    print(left_count + (n - right_count))
else:
    print(0)
",1,1.0
172,"
def min_distance(d1, d2, d3):
    dp = [0] * (d1 + d2 + d3 + 1)
    for i in range(1, d1 + 1):
        for j in range(1, d2 + 1):
            for k in range(1, d3 + 1):
                dp[i + j + k] = max(dp[i + j + k], dp[i] + j + dp[j + k] + d1, dp[i + k] + d2 + dp[k] + d3)
    return dp[-1]

d1, d2, d3 = map(int, input().split())
print(min_distance(d1, d2, d3))
",1,1.0
173,"n=int(input())\r\nmas=[[0]*n for i in range(n)]\r\ngr=[[0]*n for i in range(n)]\r\nfor i in range(n):\r\n    mas[i]=[int(f) for f in input().split()]\r\nfor i in range(n):\r\n    for j in range(n):\r\n        for z in range(n):\r\n            if gr[i][j]==0 and i!=j:\r\n                gr[i][j]=mas[i][z]*mas[z][j]\r\n            if mas[i][j]==1:\r\n                gr[i][j]=1\r\nfor i in gr:\r\n    print(' '.join(map(str,i)))\r\n        \r\n",0,0.0
174,n=int(input())\nprint(3*(n-1)),0,1.5157579635882712e-09
175,"a, b = map(int, input().split())\nprint(a**2 + b**2)",0,1.6974009753312203e-08
176,"s = input()  \r\nx = 0\r\ny = 0\r\nb = []\r\nn = len(s)\r\nfor j in range(n):\r\n    if s[j] == 'U':\r\n        y += 1\r\n    if s[j] == 'D':\r\n        y -= 1\r\n    if s[j] == 'L':\r\n        x -= 1\r\n    if s[j] == 'R':\r\n        x += 1\r\n    b.append([x, y])        \r\n#b.append([0, 0])\r\nb.sort(key = lambda x: (x[0], x[1]))\r\n#print(b)\r\nk = 0\r\nsum = 5\r\nm = 0\r\nfor j in range(1, n):\r\n    if b[j] == [0, 0]:\r\n        m = 1\r\n    if b[j - 1] == b[j]:\r\n        k += 1\r\n    else:\r\n        sum += 5 + k\r\n        k = 0\r\nif b[0] == [0, 0]:\r\n    m = 1\r\nif m == 1:\r\n    sum += m - 5\r\nif k > 0:\r\n    sum += k\r\nprint(sum)",0,0.0
177,"d=int(input())\r\nm=int(input())\r\ng=int(input())\r\nif m<9 and g==2010:\r\n    print(""YES"")\r\nelse:\r\n    print(""NO"")\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n\r\n",0,0.0
178,print(len(input().split())),0,0.5463029742240906
179,"def f(a, b):\r\n    max_1 = min(a, b)\r\n    s = (max(a, b) - max_1) // 2\r\n    return max_1, s\r\na, b = map(int, input().split())\r\nprint(*f(a, b))\r\n",0,0.0
180,"x=int (input())\r\nif x%10==1 :\r\n   print(x,'mag')\r\nelif x%10<5 :\r\n   print(x,'maga')\r\nelse :\r\n   print(x,'magov')\r\n\r\n",0,0.0
181,"a,b = map(int, input().split())\nif (a > 0 and b > 0) or (a < 0 and b < 0):\n    summa = a+b\nelse:\n    summa = a - b\nprint(summa)",0,8.747538555185123e-25
182,"userInput = input()\ntemp = userInput.split("" "")\nn = 0\nnList = []\nmaxValue = 0\nminValue = 0\nfor i in range(len(temp)):\n    if(i == 0):\n        n = int(temp[i])\n    else:\n        nList.append(int(temp[i]))\n\nmaxValue = max(nList)\nminValue = min(nList)\n\nfor i in range(len(nList)):\n    if(nList[i] == maxValue):\n        nList[i]=minValue\n    print(nList[i], end="" "")\n    ",0,0.0
183,"pal=int(input())\r\nfut=int(input())\r\ns=pal*2.54\r\nif s<fut and s>=0:\r\n    print(""YES"")\r\nelse:\r\n    print(""NO"") ",0,0.0
184,"
N = int(input())
k = 0
power = 1
while power < N:
    power *= 2
    k += 1
print(k)
",1,1.0
185,"n = int(input())\narr = list(map(int, input().split()))\nmax_dist = 0\nnum_indices = []\nfor i in range(2*n):\n  if arr[i] not in num_indices:\n    num_indices.append(arr[i])\n  else:\n    num_indices.remove(arr[i])\n  max_dist = max(max_dist, len(num_indices))\nprint(max_dist)",0,0.0
186,"
A = int(input())
B = int(input())
count = 0

while A > 0 and B > 0:
    if A > B:
        count += A // B
        A = A % B
    else:
        count += B // A
        B = B % A

print(count)
",1,1.0
187,n = int(input())\r\ns = 0\r\na = [0] * n\r\nfor i in range(n):\r\n    a[i] = int(input())\r\na.sort()\r\ns = 0 \r\nwhile len(a) > 3:\r\n    if  2 * a[1] + a[0] < a[0] * 2 + a[-2]: \r\n        s += a[-1] + a[0]  + a[1] * 2                       \r\n    else:\r\n        s += a[-1] + a[-2] + a[0] * 2\r\n    a = a[:len(a)-2]\r\nif len(a) == 2:\r\n    s += a[1]\r\nelif len(a) == 3:\r\n    s += sum(a)\r\nprint(s)\r\n    ,0,0.0
188,"s=[[int(j) for j in input().split()] for i in range(int(input()))]\nfor i in s:\n    isno = False\n    for j in range(3):\n        if i[j]==sum(i[:j]+i[j+1:]):\n            print(""YES"")\n            isno=True\n            break\n    if not isno:\n        print(""NO"")",0,7.0168483357081e-31
189,"a,b=[int(i) for i in input().split()]\nA=[int(i) for i in input().split()]\nif sum(A)==0:\n    print(0)\nif abs(sum(A))<=b:\n    print(1)\nelse:\n    nado=(-1*(sum(A)))\n    print(nado//b+1)",0,0.0
190,"def F(x):\n    sp=[]\n    \n    for i in range (2, int(x**0.5)+1):\n        if x%i==0:\n            if i!=7 and i%10==7:\n                sp.append(i)\n            if x//i!=i and x//i!=7 and (x//i)%10==7:\n                sp.append(x//i)\n    sp.sort()\n    \n    return sp\n\nk=0\na=int(input())\nfor g in range(a,a*100):\n    spd=[]\n    spd=F(g)\n    \n    if len(spd)>0:\n        print(g,spd[0])\n        k+=1\n    if k>4:\n        break",0,0.0
191,"a, b, c, v, n = map(int, input().split())
objects = list(map(int, input().split()))

water = v
for obj in objects:
    if water - obj >= 0:
        water -= obj
    else:
        water = max(0, water - obj)

print(water)",1,1.0
192,"x=int(input())\r\ny=int(input())\r\nc=int(input())\r\nmax(x,y,c)\r\nif x**2+y**2==c**2 or y**2+c**2==x**2 or c**2+x**2==y**2:\r\n    print(""right"")\r\nelif x**2+y**2>c**2 or y**2+c**2>x**2 or c**2+x**2>y**2:\r\n    print(""acute"")\r\nelif x**2+y**2<c**2 or y**2+c**2<x**2 or c**2+x**2<y**2:\r\n    print(""obtuse"")\r\nelif x+y>c and y+c>x and x+c>y:\r\n    print(""impossible"")",0,0.0
193,"
a, b = map(int, input().split())
print(a - b)
",1,0.9987043142318726
194,"n, k, t, c, d, p, nl, np = map(int, input().split())\n\nk = k*t # количество мм маракуя\nc = c*d # dolki\na = min(k/nl, c, p/np)\nif a == 0:\n    a = 1\n\nif n == 0:\n    print (0, 0)\nelse:\n    print (int(a), int(a/n) + 1)",0,7.718637361209257e-12
195,"n,k=map(int, input().split())\nx=(24*60)-k\nans=0\ni=0\nwhile x>=20*60+(i+1)*5 and i<n:\n    ans+=1\n    i+=1\n    x-=i*5\nprint(ans)",0,0.0
196,"
N = int(input())
arr = list(map(int, input().split()))
for i in range(1, N, 2):
    arr[i-1], arr[i] = arr[i], arr[i-1]
print(' '.join(map(str, arr)))
",1,1.0
197,"def max_chain_length(s):
    max_length = 0
    current_length = 0
    expected_char = 'E'

    for char in s:
        if char == expected_char:
            current_length += 1
            max_length = max(max_length, current_length)
            expected_char = 'A' if expected_char == 'E' else 'B' if expected_char == 'A' else 'E'
        else:
            current_length = 1 if char == 'E' else 0
            expected_char = 'A' if char == 'E' else 'B'

    return max_length

print(max_chain_length(input()))",1,1.0
198,"
n = int(input())
arr = list(map(int, input().split()))
for i in range(n):
    max_idx = i
    for j in range(i + 1, n):
        if arr[j] < arr[max_idx]:
            max_idx = j
    arr[i], arr[max_idx] = arr[max_idx], arr[i]
print(*arr)
",1,1.0
199,"a = int(input())
b = int(input())
d = int(input())

if a >= d + 2 and b >= d + 2:
    print(""YES"")
else:
    print(""NO"")",1,1.0
200,"
k, m, n = map(int, input().split())
time_needed = (n + k - 1) // k * 2 * m
print(time_needed)
",1,0.9999397993087769
201,"
N = int(input())
intervals = []

for _ in range(N):
    h1, m1, h2, m2 = map(int, input().split())
    start = h1 * 60 + m1
    end = h2 * 60 + m2
    if start < end:
        intervals.append((start, end))
    else:
        intervals.append((start, 1440))
        intervals.append((0, end))

total_time = 0
current_time = 0

while current_time < 1440:
    count = sum(1 for start, end in intervals if start <= current_time < end)
    if count == N:
        total_time += 1
    current_time += 1

print(total_time)
",1,1.0
202,s=str(input())\r\na=str(input())\r\nsa=[]\r\nq=0\r\ns=s+'**'\r\nfor i in range(len(s)-1):\r\n    if s[i]==a:\r\n        q+=1\r\n    else:\r\n        sa.append(q)\r\n        q=0\r\nprint(max(sa)) \r\n   ,0,0.0
203,"x,y = map(int,input().split())\r\nif x>0 and y>0:\r\n    print(1)\r\nelif x>0 and y<0:\r\n    print(2)\r\nelif x<0 and y<0:\r\n    print(3)\r\nelse:\r\n    print(4)\r\n\r\n",0,0.0
204,"k, n = map(int, input().split())\nif n%k == 0:\n    print(n//k, n%k)\nelse:\n    print(n//k +1, n%k)",0,8.333205545201586e-20
205,"def reverse_number(n):
    if n < 10:
        print(n)
    else:
        print(n % 10, end=' ')
        reverse_number(n // 10)

n = int(input())
reverse_number(n)",1,1.0
206,"
def divisors(n):
    divs = []
    for i in range(1, n + 1):
        if n % i == 0:
            divs.append(i)
    return divs

def fifth_largest(n):
    divs = sorted(divisors(n), reverse=True)[:5]
    return divs[4] if len(divs) > 4 else 0

def find_numbers(a):
    found = set()
    for n in range(a + 1, 1e6):
        m = fifth_largest(n)
        if m > 0:
            found.add(n)
            if len(found) == 5:
                return sorted(list(found))
    return []

a = int(input())
numbers = find_numbers(a)
if numbers:
    for n in numbers:
        print(n, fifth_largest(n))
",1,1.0
207,"a,b,c=map(int,input().split());z=0
while a!=b or b!=c:
  z+=1
  if a==b:a+=c-b;b=c
  elif b==c:c+=a-b
  else:b+=a-b
print(z)",1,1.0
208,"n, k = map(int, input().split())\na = list(map(int, input().split()))\na.sort(reverse=True)\nfor i in range(n):\n    if k == 0:\n        break\n    if a[i] < 0:\n        a[i] = -a[i]\n        k-=1\n    else:\n        a[i] = a[i] * (-1)**k\n        k = 0\nprint(sum(a))\n    \n",0,0.0
209,n = int(input())\r\ngr = [input().split() for i in range(n)]\r\nt=1\r\nfor i in range(n):\r\n    q=0\r\n    for j in range(n):\r\n        if gr[i][j] == '1':\r\n            q+=1;\r\n    if q%2!=0:\r\n        t=0\r\n        break\r\nif t==1:\r\n    print('YES')\r\nelse:\r\n    print('NO'),0,0.0
210,"n,k,t,c,d,p,nl,np = map(int,input().split())\r\nsumk = k*t\r\nsumc = c*d\r\ncounter = 0\r\nguest = 0\r\nwhile sumk>nl and sumc>0 and p>np:\r\n    sumk -= nl\r\n    sumc -= 1\r\n    p -= np\r\n    counter += 1\r\nif counter == 0:\r\n    print(1,1)\r\nelse:\r\n    guest = counter % n\r\n    if guest == 0:\r\n        guest = n\r\n    print(counter,guest)",0,0.0
211,"n = int(input())\nk = 0\nwhile n != 1:\n    if n % 10 in [1, 3, 5, 7, 9]:\n        n -= 1\n    elif n % 5 == 0:\n        n //= 5\n    elif n % 2 == 0:\n        n //= 2\n    else:\n        n -= 1\n    k += 1\nprint(k)",0,0.0
212,n = int(input())\nk = 0\nwhile n > 1:\n    n = n // 2 + n % 2    \n    k += 1\nprint(k),0,7.514035627840003e-16
213,"n1,p1,m1,t1,s1=map(int,input().split())\r\nn2,p2,m2,t2,s2=map(int,input().split())\r\na1=p1+t1*m1+s1\r\nb1=a1*n1\r\na2=p2+t2*m2+s2\r\nb2=a2*n2    \r\nif b1<b2:\r\n    print(""Python"",b1)\r\nelif b2<b1:\r\n    print(""Pascal"",b2)\r\nelif b1==b2:\r\n    print(""Draw"",b1)\r\n",0,0.0
214,"
N = int(input())
count = 0
for i in range(1, N + 1):
    if N % i == 0:
        count += 1
print(count)
",1,1.0
